2021-02-03 16:40:56 - PHP Warning:  mkdir(): File exists in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 54
2021-02-03 16:40:57 - PHP Warning:  mkdir(): File exists in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 54
2021-02-03 16:40:57 - PHP Warning:  rename(C:\xampp\htdocs\opencart-3.0.3.7\system\storage\cache\template\8e\8ed56BE.tmp,C:/xampp/htdocs/opencart-3.0.3.7/system/storage/cache/template/8e/8edb4e13672148a4bfb8122120a41208f54697d1edf35b52dbf811fe4899533b.php): Access is denied (code: 5) in C:\xampp\htdocs\opencart-3.0.3.7\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 65
2021-02-04 11:06:50 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-02-04 11:07:16 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2021-02-04 11:07:18 - PHP Warning:  mail(): Failed to connect to mailserver at &quot;localhost&quot; port 25, verify your &quot;SMTP&quot; and &quot;smtp_port&quot; setting in php.ini or use ini_set() in C:\xampp\htdocs\opencart-3.0.3.7\system\library\mail\mail.php on line 77
2022-03-31 16:01:38 - PHP Unknown:  Required parameter $category_id follows optional parameter $data in C:\xampp\htdocs\freshgo\catalog\model\extension\module\wbocproduct.php on line 58
2022-03-31 16:01:38 - PHP Unknown:  Required parameter $category_id follows optional parameter $data in C:\xampp\htdocs\freshgo\catalog\model\extension\module\wbocproduct.php on line 134
2024-01-15 8:09:48 - PHP Warning:  rename(C:\xampp\htdocs\freshgo\system\storage\cache\template\2b\2b83D17.tmp,C:/xampp/htdocs/freshgo/system/storage/cache/template/2b/2b8a31b86f7e84311cf0de02103a63f34aeae7fe5cc545dfa1148037adbde3f9.php): Access is denied (code: 5) in C:\xampp\htdocs\freshgo\system\storage\vendor\twig\twig\src\Cache\FilesystemCache.php on line 65
2024-01-15 8:25:32 - PHP Warning:  Undefined array key "USD" in C:\xampp\htdocs\freshgo\system\library\cart\currency.php on line 25
2024-01-15 8:25:32 - PHP Warning:  Trying to access array offset on value of type null in C:\xampp\htdocs\freshgo\system\library\cart\currency.php on line 25
